Site,Date,DO (mg/L) - Top,DO (mg/L) - Bot,Fecal Coliform (#/100 mL) - Top,Fecal Coliform (#/100 mL) - Bot,Enterococcus (#/100 mL) - Top,Enterococcus (#/100 mL) - Bot,Transparency (Secchi) ft,Weather (Dry = D / Wet = W)
NR1,7/17/2017,6.1,5.34,24,NS,3,NS,2.5,D
AC1,7/13/2017,8,NS,2000,NS,700,NS,NS,D
AC2,7/13/2017,8.17,NS,2400,NS,400,NS,NS,D
BR1,7/13/2017,5.7,NS,2100,NS,232,NS,NS,D
BR3,7/13/2017,4.46,NS,467,NS,132,NS,NS,D
F1,7/13/2017,7.61,NS,310,NS,2,NS,NS,D
F5,7/13/2017,7.05,NS,226,NS,2,NS,NS,D
HC1,7/13/2017,5.6,NS,108,NS,240,NS,NS,D
HC2,7/13/2017,4.59,NS,124,NS,28,NS,NS,D
HC3,7/13/2017,4.98,NS,42,NS,2,NS,NS,D
J14,7/13/2017,6.76,NS,4,NS,2,NS,NS,D
J15,7/13/2017,NS,NS,NS,NS,NS,NS,NS,D
J16,7/13/2017,7.52,7.58,2,NS,4,NS,NS,D
BB2,7/12/2017,5.42,5.28,4400,NS,28,NS,3,D
BB4,7/12/2017,5.33,5.27,350,NS,2,NS,4.5,D
CIC2,7/12/2017,5.45,NS,14100,NS,16,NS,NS,D
GC3,7/12/2017,8.23,NS,96,NS,40,NS,NS,D
GC4,7/12/2017,7.94,7.09,184,172,60,76,NS,D
GC5,7/12/2017,7.71,7.36,236,160,24,100,NS,D
GC6,7/12/2017,6.47,6.18,11700,2700,140,76,NS,D
GHC,7/12/2017,5.37,5.26,8,NS,1,NS,3.5,D
HOB,7/12/2017,5.27,5.16,10,NS,1,NS,2.5,D
J1,7/12/2017,8.4,8.24,1,NS,1,NS,3.5,D
J10,7/12/2017,7.81,7.56,24,NS,1,NS,3,D
J11,7/12/2017,8.45,8.39,780,NS,3,NS,3,D
J12,7/12/2017,5.49,5.31,6,NS,1,NS,5,D
J2,7/12/2017,6.71,6.59,2,NS,1,NS,3.5,D
J3,7/12/2017,6.84,6.65,7,NS,1,NS,4,D
J5,7/12/2017,6.86,6.72,3,NS,1,NS,3.5,D
J7,7/12/2017,5.83,5.51,4,NS,1,NS,5,D
J8,7/12/2017,5.92,5.78,16,NS,1,NS,3.5,D
J9A,7/12/2017,6.63,6.47,13,NS,1,NS,3,D
JA1,7/12/2017,5.56,5.43,20,NS,1,NS,5,D
N16,7/12/2017,8.56,8.32,1,NS,1,NS,4,D
N9,7/12/2017,8.03,7.81,4,NS,1,NS,3,D
N9A,7/12/2017,8.46,8.34,1,NS,1,NS,4,D
PB2,7/12/2017,9.88,9.71,38,NS,2,NS,2.5,D
PB3,7/12/2017,10.45,10.28,48,NS,1,NS,3,D
SP1,7/12/2017,5.38,NS,321,NS,12,NS,NS,D
SP2,7/12/2017,7.01,NS,10,NS,1,NS,3.5,D
TB1,7/12/2017,4.7,4.57,184,NS,13,NS,3.5,D
TB2,7/12/2017,6.36,6.14,150,NS,12,NS,3,D
CIC3,7/11/2017,7.01,6.84,520,NS,3,NS,4.5,D
E12,7/11/2017,9.21,NS,4,NS,4,NS,NS,D
E13,7/11/2017,5.33,NS,10,NS,4,NS,NS,D
G2,7/11/2017,6.39,6.21,40,NS,21,NS,4.5,D
GB1,7/11/2017,7.29,7.15,14,NS,10,NS,4,D
HR03,7/11/2017,6.44,NS,4,NS,16,NS,NS,D
HR1,7/11/2017,7,NS,8,NS,10,NS,NS,D
HR2,7/11/2017,4.57,NS,84,NS,88,NS,NS,D
K1,7/11/2017,6.42,6.21,24,NS,3,NS,4,D
K2,7/11/2017,6.47,6.35,64,NS,1,NS,3.5,D
K3,7/11/2017,6.25,6.07,24,NS,1,NS,3.5,D
K4,7/11/2017,6.3,6.16,20,NS,2,NS,3,D
K5,7/11/2017,5.38,5.22,12,NS,2,NS,4,D
K5A,7/11/2017,5.12,4.93,2,NS,1,NS,4.5,D
K6,7/11/2017,9.56,9.44,1,NS,1,NS,2.5,D
N6,7/11/2017,6.87,6.65,8,NS,1,NS,3.5,D
N7,7/11/2017,7.23,7.07,16,NS,1,NS,3.5,D
N8,7/11/2017,7.04,6.91,12,NS,1,NS,3,D
NC0,7/11/2017,5.07,4.89,590,600,24,20,4,D
NC1,7/11/2017,5.2,5.14,3200,2800,116,124,2,D
NC2,7/11/2017,6.18,6.04,212,172,20,30,2.5,D
NC3,7/11/2017,6.17,6.04,84,44,4,8,2.5,D
WC1,7/11/2017,3.32,NS,66,NS,64,NS,NS,D
WC2,7/11/2017,1.2,NS,982,NS,210,NS,NS,D
WC3,7/11/2017,5.29,NS,2,NS,1,NS,NS,D
BR5,7/10/2017,5.69,5.23,212,NS,14,NS,3,D
E10,7/10/2017,7.47,4.32,20,NS,1,NS,3,D
E11,7/10/2017,5.8,NS,68,NS,1,NS,3.5,D
E14,7/10/2017,5.34,5.18,52,NS,6,NS,3,D
E15,7/10/2017,5.06,5.15,1900,NS,9,NS,3,D
E2,7/10/2017,6.23,6.08,46,NS,10,NS,3,D
E4,7/10/2017,5.59,5.4,64,NS,3,NS,3,D
E6,7/10/2017,5.72,5.32,44,NS,1,NS,4,D
E7,7/10/2017,5.13,4.97,72,NS,1,NS,3.5,D
E8,7/10/2017,5.39,4.04,64,NS,2,NS,3.5,D
FB1,7/10/2017,5.12,5.18,136,NS,1,NS,3.5,D
FLC1,7/10/2017,4.23,4.13,102000,NS,600,NS,2,D
FLC2,7/10/2017,5.78,5.13,4900,NS,13,NS,3,D
H3,7/10/2017,6.1,5.97,165,NS,32,NS,1.5,D
LN1,7/10/2017,9.9,NS,68,NS,1,NS,2.5,D
N1,7/10/2017,6.99,5.92,8,NS,1,NS,2,D
N3B,7/10/2017,6.68,5.88,46,NS,2,NS,2.5,D
N4,7/10/2017,6.64,5.75,64,NS,10,NS,2,D
N5,7/10/2017,6.5,6.25,33,NS,3,NS,2.5,D
NR1,7/10/2017,6.98,5.81,42,NS,4,NS,3,D
AC1,7/6/2017,3.96,NS,368,NS,40,NS,NS,D
AC2,7/6/2017,3.69,NS,391,NS,152,NS,NS,D
BR1,7/6/2017,6.32,NS,648,NS,252,NS,NS,D
BR3,7/6/2017,2.12,NS,303,NS,60,NS,NS,D
F1,7/6/2017,7.72,2.57,179,NS,44,NS,NS,D
F5,7/6/2017,5.9,4.25,112,NS,32,NS,NS,D
HC1,7/6/2017,4.04,NS,108,NS,30,NS,NS,D
HC2,7/6/2017,3.5,NS,44,NS,10,NS,NS,D
HC3,7/6/2017,4.37,NS,40,NS,2,NS,NS,D
J14,7/6/2017,6.43,NS,52,NS,2,NS,NS,D
J15,7/6/2017,3.74,NS,12,NS,8,NS,NS,D
J16,7/6/2017,6.04,6.19,2,NS,2,NS,NS,D
CIC2,7/5/2017,2.7,NS,54000,NS,176,NS,NS,D
GC3,7/5/2017,9.05,NS,68,NS,32,NS,NS,D
GC4,7/5/2017,8.95,NS,16,NS,68,NS,NS,D
GC5,7/5/2017,8.87,NS,16,NS,48,NS,NS,D
GC6,7/5/2017,8.2,8.23,72,124,16,16,NS,D
SP1,7/5/2017,10.77,NS,60,NS,208,NS,NS,D
AC1,6/29/2017,8.19,NS,2000,NS,800,NS,NS,D
AC2,6/29/2017,8.49,NS,4300,NS,600,NS,NS,D
BR1,6/29/2017,7.16,NS,268,NS,300,NS,NS,D
BR3,6/29/2017,2.67,NS,168,NS,132,NS,NS,D
E12,6/29/2017,8.02,NS,20,NS,8,NS,NS,D
E13,6/29/2017,5.4,NS,34,NS,3,NS,NS,D
HR03,6/29/2017,5.5,NS,144,NS,36,NS,NS,D
HR1,6/29/2017,6.41,NS,182,NS,36,NS,NS,D
HR2,6/29/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC1,6/29/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC2,6/29/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC3,6/29/2017,NS,NS,NS,NS,NS,NS,NS,NS
BB2,6/28/2017,7.97,7.62,290,NS,2,NS,2.5,D
BB4,6/28/2017,7.21,7.15,260,NS,1,NS,3,D
CIC2,6/28/2017,7.8,NS,10364,NS,24,NS,NS,D
GC3,6/28/2017,8.35,NS,236,NS,172,NS,NS,D
GC4,6/28/2017,8.21,8.01,398,552,140,132,NS,D
GC5,6/28/2017,7.92,7.76,421,521,96,176,NS,D
GC6,6/28/2017,6.5,5.5,4100,2700,188,229,NS,D
GHC,6/28/2017,7.39,6.88,4,NS,1,NS,3.5,D
HOB,6/28/2017,8.78,8.64,12,NS,1,NS,4,D
J1,6/28/2017,7.88,7.65,28,NS,1,NS,4,D
J10,6/28/2017,9.79,9.66,8,NS,1,NS,3,D
J11,6/28/2017,4.29,9,540,NS,5,NS,3.5,D
J12,6/28/2017,8.11,7.51,41,NS,1,NS,3,D
J2,6/28/2017,8.92,8.73,2,NS,1,NS,3,D
J3,6/28/2017,9.12,8.96,2,NS,1,NS,3.5,D
J5,6/28/2017,8.53,8.7,7,NS,1,NS,4,D
J7,6/28/2017,9.04,8.78,140,NS,1,NS,3,D
J8,6/28/2017,9.21,8.41,12,NS,1,NS,3.5,D
J9A,6/28/2017,9.08,8.78,3,NS,10,NS,3.5,D
JA1,6/28/2017,8.11,7.96,140,NS,1,NS,3,D
N16,6/28/2017,8.23,8.12,1,NS,1,NS,10,D
N9,6/28/2017,8.03,7.89,21,NS,1,NS,4.5,D
N9A,6/28/2017,7.68,7.49,1,NS,1,NS,6,D
PB2,6/28/2017,9.17,8.89,18,NS,2,NS,2,D
PB3,6/28/2017,9.11,8.53,20,NS,1,NS,2.5,D
SP1,6/28/2017,10.23,NS,90,NS,12,NS,NS,D
SP2,6/28/2017,9.53,NS,11,NS,7,NS,3,D
TB1,6/28/2017,7.87,7.27,56,NS,1,NS,4.5,D
TB2,6/28/2017,7.61,7.27,24,NS,1,NS,4,D
CIC3,6/27/2017,7.18,7.07,440,NS,2,NS,3.5,W
F1,6/27/2017,8.68,NS,500,NS,1000,NS,NS,W
F5,6/27/2017,9.06,NS,520,NS,460,NS,NS,W
G2,6/27/2017,6.26,5.91,100,NS,32,NS,4,W
GB1,6/27/2017,7.46,7.14,6,NS,2,NS,4,W
HC1,6/27/2017,6.37,NS,2600,NS,80,NS,NS,W
HC2,6/27/2017,7.19,NS,10,NS,10,NS,NS,W
HC3,6/27/2017,8.57,NS,10,NS,10,NS,NS,W
J14,6/27/2017,9.3,NS,80,NS,700,NS,NS,W
J15,6/27/2017,9.49,NS,570,NS,260,NS,NS,W
J16,6/27/2017,9.25,NS,108,NS,60,NS,NS,W
K1,6/27/2017,6.13,5.96,52,NS,4,NS,2.5,W
K2,6/27/2017,6.71,6.03,40,NS,4,NS,3.5,W
K3,6/27/2017,5.75,5.68,68,NS,10,NS,3.5,W
K4,6/27/2017,5.35,4.74,56,NS,4,NS,3,W
K5,6/27/2017,5.67,5.49,44,NS,2,NS,3,W
K5A,6/27/2017,6.3,6.28,52,NS,2,NS,4,W
K6,6/27/2017,8.01,7.81,4,NS,2,NS,4.5,W
N6,6/27/2017,7.05,6.93,12,NS,2,NS,3,W
N7,6/27/2017,6.94,6.42,28,NS,2,NS,3,W
N8,6/27/2017,7.29,7.15,8,NS,2,NS,4,W
NC0,6/27/2017,3.69,3.59,480,580,200,210,4.5,W
NC1,6/27/2017,2.82,2.59,883,2100,365,270,4,W
NC2,6/27/2017,2.85,2.77,230,520,60,40,6,W
NC3,6/27/2017,4.57,4.29,160,220,20,50,5,W
BR5,6/26/2017,8.39,7.51,101,NS,7,NS,1.5,D
E10,6/26/2017,5.54,5.12,30,NS,2,NS,3,D
E11,6/26/2017,5.1,NS,86,NS,1,NS,3,D
E14,6/26/2017,5.22,5.13,64,NS,4,NS,4,D
E15,6/26/2017,5.13,NS,1600,NS,44,NS,2,D
E2,6/26/2017,5.32,5.28,46,NS,5,NS,2.5,D
E4,6/26/2017,5.84,5.46,64,NS,7,NS,2.5,D
E6,6/26/2017,5.79,5.31,116,NS,13,NS,3,D
E7,6/26/2017,5.08,4.98,102,NS,2,NS,3,D
E8,6/26/2017,5.02,4.41,88,NS,4,NS,3.5,D
FB1,6/26/2017,6.07,5.54,320,NS,25,NS,1,D
FLC1,6/26/2017,3.76,3.3,73000,NS,600,NS,1.5,D
FLC2,6/26/2017,4.8,4.65,52000,NS,580,NS,2,D
H3,6/26/2017,6.15,5.84,58,NS,35,NS,1,D
LN1,6/26/2017,6.98,NS,100,NS,1,NS,2.5,D
N1,6/26/2017,5.81,5.19,50,NS,20,NS,1.5,D
N3B,6/26/2017,6.33,5.46,40,NS,11,NS,2,D
N4,6/26/2017,6.04,5.97,58,NS,7,NS,2,D
N5,6/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
NR1,6/26/2017,6.12,5.6,45,NS,10,NS,2,D
AC1,6/22/2017,9.8,NS,1182,NS,216,NS,NS,D
AC2,6/22/2017,6.71,NS,2091,NS,700,NS,NS,D
BR1,6/22/2017,6.42,NS,3400,NS,500,NS,NS,D
BR3,6/22/2017,11,NS,1273,NS,212,NS,NS,D
F1,6/22/2017,NS,NS,NS,NS,NS,NS,NS,NS
F5,6/22/2017,NS,NS,NS,NS,NS,NS,NS,NS
HC1,6/22/2017,1.54,NS,400,NS,82,NS,NS,D
HC2,6/22/2017,3.25,NS,188,NS,38,NS,NS,D
HC3,6/22/2017,NS,NS,NS,NS,NS,NS,NS,NS
J14,6/22/2017,NS,NS,NS,NS,NS,NS,NS,NS
J15,6/22/2017,NS,NS,NS,NS,NS,NS,NS,NS
J16,6/22/2017,NS,NS,NS,NS,NS,NS,NS,NS
BB2,6/21/2017,1.01,NS,28000,NS,192,NS,1.5,W
BB4,6/21/2017,4.96,5.21,2700,NS,12,NS,3.5,W
CIC2,6/21/2017,2.58,NS,68000,NS,260,NS,NS,W
GC3,6/21/2017,8.65,NS,300,NS,230,NS,NS,W
GC4,6/21/2017,8.31,NS,1153,NS,340,NS,NS,W
GC5,6/21/2017,8.27,NS,775,NS,210,NS,NS,W
GC6,6/21/2017,6.81,7.64,1919,3700,270,430,NS,W
GHC,6/21/2017,6.84,5.38,80,NS,4,NS,2.5,W
HOB,6/21/2017,8.36,7.56,275,NS,14,NS,2.5,W
J1,6/21/2017,7.02,6.6,20,NS,2,NS,3.5,W
J10,6/21/2017,6.52,6.54,44,NS,2,NS,3,W
J11,6/21/2017,9.36,9.4,18,NS,2,NS,2.5,W
J12,6/21/2017,7.69,5.68,128,NS,4,NS,2,W
J2,6/21/2017,6.5,6.6,30,NS,2,NS,3,W
J3,6/21/2017,6.56,6.26,116,NS,2,NS,4,W
J5,6/21/2017,8.12,8.29,64,NS,2,NS,2.5,W
J7,6/21/2017,6.3,6.35,300,NS,2,NS,4,W
J8,6/21/2017,7.14,6.82,380,NS,2,NS,3,W
J9A,6/21/2017,6,6.13,173,NS,2,NS,3.5,W
JA1,6/21/2017,7.05,6.97,575,NS,4,NS,3,W
N16,6/21/2017,NS,NS,NS,NS,NS,NS,NS,W
N9,6/21/2017,6.74,6.99,50,NS,2,NS,4.5,W
N9A,6/21/2017,7.77,7.68,4,NS,2,NS,5,W
PB2,6/21/2017,7.65,7.93,140,NS,2,NS,2.5,W
PB3,6/21/2017,7.08,NS,148,NS,2,NS,3,W
SP1,6/21/2017,14.03,NS,1117,NS,20,NS,NS,W
SP2,6/21/2017,7.01,NS,370,NS,2,NS,3,W
TB1,6/21/2017,4.08,3.9,748,NS,125,NS,4,W
TB2,6/21/2017,5.97,5.42,290,NS,64,NS,3,W
CIC3,6/20/2017,6.18,6.28,23000,NS,380,NS,4.5,W
E12,6/20/2017,5.7,NS,5100,NS,160,NS,NS,W
E13,6/20/2017,5.75,NS,5600,NS,116,NS,NS,W
G2,6/20/2017,6.4,6.65,17700,NS,1100,NS,4.5,W
GB1,6/20/2017,7.49,7.47,438,NS,20,NS,4.5,W
HR03,6/20/2017,1.83,NS,60000,NS,1500,NS,NS,W
HR1,6/20/2017,3.1,NS,61000,NS,1300,NS,NS,W
HR2,6/20/2017,1.3,NS,70000,NS,1000,NS,NS,W
K1,6/20/2017,6.46,6.48,560,NS,121,NS,2.5,W
K2,6/20/2017,6.58,6.57,530,NS,106,NS,2.5,W
K3,6/20/2017,6.76,6.13,4100,NS,124,NS,3,W
K4,6/20/2017,6.3,5.58,2000,NS,480,NS,2.5,W
K5,6/20/2017,5.71,4.34,204,NS,44,NS,3,W
K5A,6/20/2017,5.67,5.51,208,NS,22,NS,3,W
K6,6/20/2017,8.7,7.73,32,NS,2,NS,2,W
N6,6/20/2017,6.88,6.22,480,NS,91,NS,2.5,W
N7,6/20/2017,6.59,6.54,450,NS,58,NS,3,W
N8,6/20/2017,7.26,7.13,515,NS,62,NS,3.5,W
NC0,6/20/2017,4.09,3.89,110000,72000,11100,14000,2,W
NC1,6/20/2017,3.03,2.84,196000,60000,17500,6000,1.5,W
NC2,6/20/2017,3.03,3.1,60000,150000,19300,8500,1,W
NC3,6/20/2017,4.03,4.6,60000,106000,19000,7800,1,W
WC1,6/20/2017,1.69,NS,60000,NS,6000,NS,NS,W
WC2,6/20/2017,0.1,NS,60000,NS,6000,NS,NS,W
WC3,6/20/2017,5.12,NS,60000,NS,4500,NS,NS,W
BR5,6/19/2017,5.45,NS,600,NS,78,NS,3,W
E10,6/19/2017,7.32,5.72,132,NS,2,NS,3,W
E11,6/19/2017,6.23,NS,350,NS,2,NS,3,W
E14,6/19/2017,5.82,6.21,540,NS,18,NS,3.5,W
E15,6/19/2017,5.7,NS,2000,NS,60,NS,3,W
E2,6/19/2017,NS,NS,NS,NS,NS,NS,NS,NS
E4,6/19/2017,5.75,5.66,620,NS,8,NS,3,W
E6,6/19/2017,5.71,5.89,1730,NS,8,NS,2.5,W
E7,6/19/2017,5.82,5.87,360,NS,8,NS,3.5,W
E8,6/19/2017,6.1,5.25,540,NS,8,NS,3.5,W
FB1,6/19/2017,5.37,5.36,1480,NS,82,NS,2,W
FLC1,6/19/2017,3.62,3.28,6000,NS,2400,NS,2.5,W
FLC2,6/19/2017,4.48,4.16,6000,NS,4200,NS,2.5,W
H3,6/19/2017,5.75,6,675,NS,80,NS,2.5,W
LN1,6/19/2017,6.22,NS,194,NS,2,NS,2.5,W
N1,6/19/2017,NS,NS,NS,NS,NS,NS,NS,NS
N3B,6/19/2017,7.12,6.48,60,NS,8,NS,2,W
N4,6/19/2017,6.78,6.54,56,NS,10,NS,2,W
N5,6/19/2017,6.89,6.57,64,NS,2,NS,2.5,W
NR1,6/19/2017,7.23,6.17,56,NS,6,NS,2,W
AC1,6/15/2017,8.46,NS,2000,NS,150,NS,NS,W
AC2,6/15/2017,7.65,NS,793,NS,480,NS,NS,W
BR1,6/15/2017,7.53,NS,340,NS,70,NS,NS,W
BR3,6/15/2017,3.75,NS,420,NS,60,NS,NS,W
E12,6/15/2017,8.93,NS,10,NS,10,NS,NS,W
E13,6/15/2017,7.1,NS,535,NS,4,NS,NS,W
HR03,6/15/2017,5.54,NS,130,NS,20,NS,NS,W
HR1,6/15/2017,8.32,NS,40,NS,10,NS,NS,W
HR2,6/15/2017,5.63,NS,280,NS,30,NS,NS,W
WC1,6/15/2017,9.92,NS,140,NS,56,NS,NS,W
WC2,6/15/2017,3.54,NS,170,NS,104,NS,NS,W
WC3,6/15/2017,9.18,NS,120,NS,8,NS,NS,W
BB2,6/14/2017,7.51,7.46,6000,NS,8000,NS,1,W
BB4,6/14/2017,15.57,13.01,49000,NS,2580,NS,1,W
CIC2,6/14/2017,8.35,NS,3800,NS,100,NS,NS,W
GC3,6/14/2017,9.01,9,104000,32000,42000,4700,NS,W
GC4,6/14/2017,8.86,8.89,100000,67000,44000,24000,NS,W
GC5,6/14/2017,8.75,8.75,122000,53000,43000,29000,NS,W
GC6,6/14/2017,8.14,6.37,60000,5800,36000,2200,NS,W
GHC,6/14/2017,11.1,7.95,8,NS,2,NS,3,W
HOB,6/14/2017,15.91,13.31,4,NS,2,NS,3,W
J1,6/14/2017,7.75,7.26,4,NS,2,NS,5,W
J10,6/14/2017,8.61,7.93,4,NS,2,NS,3,W
J11,6/14/2017,8.2,7.8,6,NS,2,NS,3,W
J12,6/14/2017,11.44,6.62,78,NS,2,NS,2,W
J2,6/14/2017,8.43,7.84,4,NS,2,NS,3,W
J3,6/14/2017,8.55,7.01,44,NS,2,NS,4.5,W
J5,6/14/2017,10.02,8.31,10,NS,2,NS,3.5,W
J7,6/14/2017,11.42,6.8,179,NS,10,NS,1,W
J8,6/14/2017,9.94,6.31,28,NS,2,NS,3,W
J9A,6/14/2017,8.53,7.75,4,NS,2,NS,3,W
JA1,6/14/2017,12.91,9.78,236,NS,30,NS,3,W
N16,6/14/2017,7.68,5.91,2,NS,2,NS,6,W
N9,6/14/2017,7.29,5.53,10,NS,2,NS,7,W
N9A,6/14/2017,7.52,8.07,10,NS,2,NS,8,W
PB2,6/14/2017,11.16,11.01,36,NS,2,NS,3,W
PB3,6/14/2017,9.21,8.62,12,NS,2,NS,3,W
SP1,6/14/2017,11.81,NS,230,NS,10,NS,NS,W
SP2,6/14/2017,9,NS,36,NS,2,NS,3,W
TB1,6/14/2017,7.33,7.46,83000,NS,1200,NS,1.5,W
TB2,6/14/2017,14.64,11.79,570,NS,4,NS,2.5,W
CIC3,6/13/2017,8.38,8,200,NS,4,NS,3.5,D
F1,6/13/2017,10.98,7.56,126,NS,2,NS,NS,D
F5,6/13/2017,9.31,9.28,20,NS,2,NS,NS,D
G2,6/13/2017,9.06,6.98,20,NS,5,NS,3.5,D
GB1,6/13/2017,7.76,7.96,13,NS,1,NS,5,D
HC1,6/13/2017,7.35,NS,62,NS,2,NS,NS,D
HC2,6/13/2017,8.23,NS,92,NS,2,NS,NS,D
HC3,6/13/2017,9.85,NS,48,NS,8,NS,NS,D
J14,6/13/2017,10.84,10.77,2,NS,2,NS,NS,D
J15,6/13/2017,11.42,11.62,2,NS,2,NS,NS,D
J16,6/13/2017,9.26,8.89,2,NS,2,NS,NS,D
K1,6/13/2017,7.12,7.46,4,NS,3,NS,4,D
K2,6/13/2017,6.94,6.79,16,NS,2,NS,4,D
K3,6/13/2017,6.53,6.33,20,NS,1,NS,5,D
K4,6/13/2017,6.46,5.95,4,NS,1,NS,4,D
K5,6/13/2017,6.79,6.06,2,NS,1,NS,4.5,D
K5A,6/13/2017,7.04,6.57,2,NS,1,NS,4,D
K6,6/13/2017,8.07,8.22,1,NS,1,NS,4.5,D
N6,6/13/2017,7.74,7.52,8,NS,2,NS,4,D
N7,6/13/2017,7.25,7.62,28,NS,1,NS,3,D
N8,6/13/2017,8.65,7.94,8,NS,2,NS,4,D
NC0,6/13/2017,6.28,6.09,36,56,4,12,2,D
NC1,6/13/2017,11.4,10.7,68,40,4,20,2.5,D
NC2,6/13/2017,7.87,7.37,16,4,4,8,2,D
NC3,6/13/2017,7.67,6.44,28,36,4,16,3,D
BR5,6/12/2017,6.48,6.49,2,NS,1,NS,2.5,D
E10,6/12/2017,6.5,5.9,3,NS,1,NS,3,D
E11,6/12/2017,9.66,NS,6,NS,1,NS,2,D
E14,6/12/2017,6.13,6.3,7,NS,3,NS,3,D
E15,6/12/2017,5.9,5.97,40,NS,1,NS,2,D
E2,6/12/2017,7.53,6.49,9,NS,2,NS,3,D
E4,6/12/2017,6.13,6.5,7,NS,3,NS,3,D
E6,6/12/2017,6.22,6.17,18,NS,4,NS,3.5,D
E7,6/12/2017,6.23,6.39,18,NS,3,NS,3.5,D
E8,6/12/2017,6.14,5.9,15,NS,2,NS,3,D
FB1,6/12/2017,6.41,5.94,221,NS,7,NS,2,D
FLC1,6/12/2017,5.72,5.9,430,NS,60,NS,2,D
FLC2,6/12/2017,6.68,6.97,52,NS,4,NS,2,D
H3,6/12/2017,7.01,7.24,48,NS,10,NS,1,D
LN1,6/12/2017,10.43,NS,3,NS,1,NS,1.5,D
N1,6/12/2017,7.34,6.35,2,NS,1,NS,2,D
N3B,6/12/2017,7.23,7.05,17,NS,1,NS,2,D
N4,6/12/2017,7.17,6.8,42,NS,2,NS,2.5,D
N5,6/12/2017,7.22,7.4,64,NS,2,NS,2,D
NR1,6/12/2017,7.07,6.52,16,NS,2,NS,2,D
AC1,6/8/2017,7.87,NS,160,NS,36,NS,NS,D
AC2,6/8/2017,7.19,NS,60,NS,108,NS,NS,D
BR1,6/8/2017,8.41,NS,755,NS,200,NS,NS,D
BR3,6/8/2017,6.61,NS,52,NS,16,NS,NS,D
F1,6/8/2017,7.88,NS,120,NS,2,NS,NS,D
F5,6/8/2017,7.72,NS,97,NS,2,NS,NS,D
HC1,6/8/2017,4.45,NS,90,NS,14,NS,NS,D
HC2,6/8/2017,5.37,NS,22,NS,12,NS,NS,D
HC3,6/8/2017,6.2,NS,34,NS,4,NS,NS,D
J14,6/8/2017,9.64,NS,2,NS,2,NS,NS,D
J15,6/8/2017,8.86,NS,6,NS,2,NS,NS,D
J16,6/8/2017,8.19,7.9,4,NS,2,NS,NS,D
BB2,6/7/2017,3.12,NS,430,NS,12,NS,4,D
BB4,6/7/2017,4.77,4.82,40,NS,1,NS,4,D
CIC2,6/7/2017,4.93,NS,22000,NS,380,NS,NS,D
GC3,6/7/2017,9.83,9.83,4,8,32,12,NS,D
GC4,6/7/2017,9.77,9.75,4,16,4,4,NS,D
GC5,6/7/2017,9.6,9.3,84,4,100,40,NS,D
GC6,6/7/2017,8.74,9.21,8,8,8,8,NS,D
GHC,6/7/2017,5.5,4.05,20,NS,2,NS,6,D
HOB,6/7/2017,5.03,4.07,12,NS,1,NS,6,D
J1,6/7/2017,6.79,5.78,16,NS,1,NS,4.5,D
J10,6/7/2017,6.53,5.77,7,NS,1,NS,5,D
J11,6/7/2017,7.1,6.76,54,NS,2,NS,4.5,D
J12,6/7/2017,5.43,4.29,12,NS,1,NS,5,D
J2,6/7/2017,5.74,4.14,6,NS,1,NS,4.5,D
J3,6/7/2017,6.89,6.05,22,NS,1,NS,4.5,D
J5,6/7/2017,6.65,6.68,34,NS,10,NS,5,D
J7,6/7/2017,6.18,4.4,28,NS,1,NS,4,D
J8,6/7/2017,6.37,5.8,16,NS,1,NS,5,D
J9A,6/7/2017,5.95,6.16,18,NS,1,NS,5,D
JA1,6/7/2017,5.48,5.9,24,NS,2,NS,5.5,D
N16,6/7/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,6/7/2017,7.62,7.26,27,NS,2,NS,7,D
N9A,6/7/2017,7.61,7.48,4,NS,1,NS,4.5,D
PB2,6/7/2017,6.58,6.68,10,NS,1,NS,4,D
PB3,6/7/2017,8.02,8.11,4,NS,1,NS,4,D
SP1,6/7/2017,9.43,NS,52,NS,20,NS,NS,D
SP2,6/7/2017,6.04,NS,21,NS,1,NS,5,D
TB1,6/7/2017,3.98,3.74,52,NS,14,NS,8.5,D
TB2,6/7/2017,5.52,5,44,NS,8,NS,8.5,D
CIC3,6/6/2017,7.37,7.34,3000,NS,148,NS,4,W
E12,6/6/2017,8.13,NS,10,NS,10,NS,NS,W
E13,6/6/2017,6.89,NS,16,NS,2,NS,NS,W
G2,6/6/2017,6.26,4.23,40,NS,12,NS,4.5,W
GB1,6/6/2017,7.76,7.89,28,NS,2,NS,3,W
HR03,6/6/2017,4.94,NS,1000,NS,90,NS,NS,W
HR1,6/6/2017,7.13,NS,30,NS,10,NS,NS,W
HR2,6/6/2017,4.64,NS,15400,NS,160,NS,NS,W
K1,6/6/2017,7.36,7.22,80,NS,10,NS,3,W
K2,6/6/2017,6.85,6.88,88,NS,8,NS,3,W
K3,6/6/2017,6.68,6.46,410,NS,66,NS,4.5,W
K4,6/6/2017,6.14,6.04,92,NS,18,NS,4,W
K5,6/6/2017,6.43,6.33,44,NS,8,NS,3.5,W
